,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
115,Stefon Jackson,UTEP,CUSA,37,89.4,111.5,30.7,45.2,54.2,4.8,11.8,12.9,10.5,312,374,0.834,250,556,0.45,32,104,0.308,0.3,1.6,56.7,Sr,5-Jun,,5.51405,128.721,3.0,2009,219,all,,0.91025097,,,,,,,,,,,102.643,99.0711,3.37331,226.978,2.88033,4.10661,-1.22628,5.98038,36.1081,6.02859,-0.0482064,1.6486,3.7568,5.4054,1.9189,1.0541,0.1081,24.5405,,4.31741
123,Peter Sullivan,Brown,Ivy,28,89.4,96.3,22.9,47.5,51.46,3.0,13.5,11.5,15.7,82,113,0.726,87,179,0.486,48,156,0.308,0.6,1.1,33.7,So,5-Jun,,1.75148,98.3783,2.7,2009,232,all,,0.77969721,,,,,,,,,,,106.545,110.818,1.91745,156.4,-3.39976,-0.505612,-2.89415,-2.71443,35.9286,-0.25495,-2.45947,0.8571,4.0357,4.8929,1.6429,0.6429,0.2143,14.2857,,9.49279
152,Eric Maynor,VCU,CAA,34,88.0,117.3,32.6,52.4,58.33,1.6,10.0,40.8,15.4,198,243,0.815,182,353,0.516,66,183,0.361,0.5,2.9,45.3,Sr,2-Jun,,6.51466,137.585,2.7,2009,295,all,24.4,2.07920961,,,,,,,,,,20.0,96.5092,95.9311,3.70657,211.625,8.6185,8.21306,0.405443,10.5694,35.4706,8.52288,2.04655,0.4706,3.1176,3.5882,6.1765,1.7059,0.1765,22.3529,,9.08832
193,Jeremy Hazell,Seton Hall,BE,31,89.3,110.2,27.9,52.1,55.94,3.9,7.3,5.1,11.9,146,197,0.741,123,250,0.492,103,283,0.364,0.1,2.8,37.0,So,5-Jun,,5.32949,127.254,2.2,2009,370,all,,0.39999044,,,,,,,,,,,105.478,100.994,3.13329,178.967,3.62823,5.46937,-1.84114,7.14083,36.1613,7.43233,-0.291501,1.2903,2.4194,3.7097,0.8387,1.7742,0.0323,22.6129,,14.4178
215,Tyler Quinney,Southern Utah,Sum,28,84.3,105.6,23.4,48.9,57.63,7.9,12.8,9.7,20.1,134,158,0.848,133,271,0.491,0,1,0.0,0.2,1.3,58.1,Sr,7-Jun,,2.8258,107.59,3.7,2009,418,all,,0.54796515,,,,,,,,,,,107.799,106.695,2.37125,147.875,-1.36168,-0.158347,-1.20334,-1.69762,35.0714,-0.151591,-1.54603,1.9643,3.2857,5.25,1.4286,0.75,0.0714,14.2857,,0.0645267
218,Malcolm Delaney,Virginia Tech,ACC,34,90.3,114.1,25.6,46.9,57.05,3.2,9.1,25.2,17.8,225,259,0.869,90,218,0.413,70,198,0.354,0.9,2.4,62.3,So,3-Jun,,5.33332,126.841,2.8,2009,423,all,85.8,1.56703708,,,,,,,,,,,104.116,98.5061,3.47762,209.157,6.1593,6.13493,0.0243627,6.09254,36.7647,5.27743,0.81511,1.0,3.0,4.0,4.4706,1.4706,0.3235,18.0882,,9.30059
230,Marc Egerson,Delaware,CAA,32,90.3,100.1,24.4,47.8,53.17,5.5,26.8,16.4,19.3,129,174,0.741,96,231,0.416,57,149,0.383,0.5,2.2,45.8,Sr,6-Jun,,2.8249,106.803,2.4,2009,446,all,59.2,0.90324137,,,,,,,,,,,96.4892,98.8677,3.4345,263.902,1.9419,1.19324,0.74866,2.72766,36.4062,2.68585,0.0418083,1.7812,8.5625,10.3438,2.625,1.375,0.1875,15.375,,7.5175
241,Cory Higgins,Colorado,B12,30,91.2,106.5,26.2,51.5,59.58,2.3,16.0,18.0,18.5,171,207,0.826,125,247,0.506,31,86,0.36,1.1,3.3,62.2,So,5-Jun,,4.36159,118.725,2.8,2009,461,all,50.4,0.91858239,,,,,,,,,,,100.21,95.9676,3.83518,220.986,4.81432,2.72859,2.08573,5.47965,36.9333,3.7592,1.72045,0.6,4.6333,5.2333,2.6333,1.9667,0.3667,17.1333,,4.84416
280,Daniel Hackett,USC,P10,35,92.7,104.1,20.4,52.7,57.8,1.5,11.8,24.7,26.6,119,162,0.735,94,186,0.505,41,109,0.376,0.8,2.3,54.9,Jr,5-Jun,,3.1809,108.99,2.9,2009,537,all,87.2,1.43104119,,,,,,,,,,,98.3579,90.2074,4.63945,224.463,5.15852,2.93392,2.22461,4.2902,37.3429,1.87222,2.41798,0.4286,3.8,4.2286,4.7429,1.3714,0.2571,12.2857,,5.08616
285,Kevin Sims,Tulane,CUSA,30,86.8,109.5,20.1,50.9,57.29,1.4,6.1,24.0,18.8,106,129,0.822,69,159,0.434,49,121,0.405,0.1,1.4,46.1,Jr,10-May,,3.10121,109.998,2.4,2009,551,all,,1.7424091,,,,,,,,,,,105.445,103.362,2.76059,140.464,0.63214,2.23066,-1.59852,1.82553,35.1667,2.29167,-0.466133,0.4333,1.7,2.1333,3.8333,0.8333,0.0333,13.0333,,6.91628
296,Davis Baker,Southern Utah,Sum,29,88.8,106.9,25.1,53.2,57.21,3.0,14.1,10.7,16.1,84,96,0.875,143,291,0.491,47,110,0.427,0.5,1.6,23.9,Jr,4-Jun,,3.36215,111.532,1.9,2009,575,all,,0.62120483,,,,,,,,,,,106.859,105.679,2.53878,163.016,-0.375222,1.01385,-1.38907,1.92757,35.6897,3.43453,-1.50696,0.7586,3.6897,4.4483,1.4138,0.931,0.1379,17.6207,,6.73825
306,Frank Turner,Canisius,MAAC,31,93.6,90.2,26.6,44.3,47.93,3.3,9.1,25.4,23.4,106,164,0.646,162,363,0.446,18,64,0.281,0.3,1.8,38.4,Jr,10-May,,1.80066,98.1233,2.3,2009,591,all,,0.98413092,,,,,,,,,,,100.191,101.358,3.23703,194.406,-1.3453,-1.21073,-0.134563,-1.07108,37.9032,-0.462286,-0.608794,1.129,3.2903,4.4194,4.0,1.1613,0.0968,15.6129,,3.16237
317,Derrick Mercer,American,Pat,32,92.4,107.3,20.6,51.9,53.78,2.4,11.7,25.3,18.8,70,115,0.609,115,233,0.494,25,61,0.41,0.4,2.0,39.1,Sr,9-May,,2.98795,107.564,2.2,2009,617,all,,1.97178649,,,,,,,,,,,96.3238,101.146,3.22184,198.211,1.61687,1.24197,0.374903,1.85261,37.25,1.08993,0.762678,0.6562,3.5625,4.2188,4.375,1.1562,0.125,11.7188,,3.31802
393,Josh Alexander,Stephen F. Austin,Slnd,28,86.5,101.7,22.8,47.6,52.17,7.1,10.2,5.1,13.7,81,102,0.794,61,136,0.449,65,197,0.33,1.6,1.8,30.6,Sr,4-Jun,,2.33599,103.719,2.7,2009,739,all,,0.45998768,,,,,,,,,,,90.4212,91.2084,4.21016,171.129,4.2279,1.75897,2.46893,3.8317,35.0714,2.37324,1.45845,2.1429,3.0357,5.1786,0.8214,1.0357,0.5,14.2143,,12.3107
407,John Roberson,Texas Tech,B12,32,88.8,99.6,23.9,46.2,51.43,1.2,9.8,34.4,22.7,95,113,0.841,72,180,0.4,68,197,0.345,0.2,1.6,30.0,So,11-May,,3.07224,109.207,2.9,2009,765,all,73.2,1.81417084,,,,,,,,,,,108.788,101.34,3.07058,190.824,2.50873,3.45202,-0.943287,1.59891,35.5,2.68799,-1.08908,0.375,3.2188,3.5938,6.4062,1.0312,0.0625,13.8438,,9.43866
411,Garrison Carr,American,Pat,32,89.3,103.1,27.1,52.2,55.0,1.9,8.7,11.0,17.4,81,105,0.771,75,178,0.421,114,293,0.389,0.2,1.7,22.3,Sr,11-May,,3.392,111.632,2.3,2009,771,all,,0.63093335,,,,,,,,,,,98.3617,103.286,2.84847,175.1,-0.168193,1.89548,-2.06367,1.66502,36.0,3.12256,-1.45754,0.5,2.5625,3.0625,1.6562,0.9688,0.0625,17.9062,,16.4906
454,Ben Uzoh,Tulsa,CUSA,35,89.1,106.7,22.4,49.2,54.96,2.8,12.3,21.9,19.9,125,158,0.791,121,247,0.49,40,121,0.331,1.4,2.6,42.9,Jr,3-Jun,,3.57147,113.142,2.4,2009,841,all,66.4,1.33694753,,,,,,,,,,,93.9729,91.1273,4.34625,231.353,5.91901,3.08404,2.83497,5.68558,35.7714,3.01171,2.67387,0.8,4.0571,4.8571,3.5143,1.5143,0.4857,13.9143,,5.88274
514,Aaron Jackson,Duquesne,A10,34,90.5,124.3,24.9,61.1,65.4,5.8,11.7,31.4,18.7,152,188,0.809,182,297,0.613,47,116,0.405,0.3,2.6,45.5,Sr,4-Jun,,6.35769,134.876,2.0,2009,963,all,20.8,1.88350828,,,,,,,,,,,105.21,104.119,2.78235,224.353,7.17343,7.83598,-0.662544,7.96645,36.7353,7.74063,0.225819,1.7941,3.6765,5.4706,5.7059,1.6471,0.0882,19.3235,,5.24557
535,Gary Patterson,IUPUI,Sum,24,78.2,104.2,16.6,47.5,51.16,1.1,5.1,15.1,15.6,38,48,0.792,30,94,0.319,44,108,0.407,0.2,2.1,23.8,Sr,10-May,,1.50764,96.6275,1.8,2009,1004,all,,1.88233209,,,,,,,,,,,109.027,107.825,2.24935,112.905,-1.248,1.1568,-2.4048,-1.77113,35.3333,-0.41886,-1.35227,0.2917,1.3333,1.625,2.6667,1.125,0.0417,9.5833,,8.21936
550,Lester Hudson,Tennessee Martin,OVC,30,90.6,115.3,35.5,51.7,56.0,6.5,18.3,27.3,15.0,144,164,0.878,197,381,0.517,98,284,0.345,1.7,3.3,24.7,Sr,3-Jun,,6.26497,134.098,3.0,2009,1026,all,,1.21567639,,,,,,,,,,58.0,96.5284,97.8724,3.56984,247.094,9.11737,7.93,1.18737,11.5818,36.5333,10.4465,1.1353,2.2,5.8667,8.0667,4.1333,2.1,0.6,27.7333,,14.7906
564,Drake Reed,Austin Peay,OVC,31,92.4,117.8,27.0,57.9,61.51,8.0,16.0,15.0,15.0,149,198,0.753,242,416,0.582,17,46,0.37,1.8,1.1,42.9,Sr,5-Jun,,5.31428,125.712,2.3,2009,1047,all,,0.92594434,,,,,,,,,,,108.524,109.137,2.1965,196.185,2.37307,4.00416,-1.63109,4.12405,37.5484,5.91622,-1.79218,2.4839,5.0645,7.5484,2.4194,0.7097,0.6129,22.0645,,2.29523
619,Dwight Lewis,USC,P10,33,84.5,101.1,22.3,47.1,51.03,2.7,8.2,12.1,18.6,92,123,0.748,109,262,0.416,55,145,0.379,0.5,1.9,30.2,Jr,5-Jun,,2.92086,107.767,2.3,2009,1130,all,50.4,0.85186391,,,,,,,,,,,101.043,92.5366,4.19247,180.949,2.62027,1.93162,0.688647,2.45488,36.0909,1.4015,1.05338,0.7576,2.5455,3.303,2.0909,1.1212,0.1515,14.3939,,7.42258
643,Erik Kangas,Oakland,Sum,34,87.0,117.6,22.7,57.0,59.96,2.3,7.4,9.7,14.2,82,93,0.882,84,175,0.48,131,317,0.413,0.5,1.9,18.9,Sr,3-Jun,,4.49671,120.438,1.6,2009,1170,all,,0.87878629,,,,,,,,,,,111.268,110.181,1.9997,174.919,2.60335,5.54393,-2.94057,4.10203,36.3529,6.02725,-1.92522,0.6765,2.2941,2.9706,1.7059,1.1176,0.1765,18.9118,,15.5203
671,Nick Stallings,Centenary,Sum,31,91.0,93.0,24.6,49.6,51.51,3.4,16.8,14.4,19.8,72,116,0.621,117,262,0.447,56,143,0.392,1.4,2.5,28.6,Sr,2-Jun,,1.52687,96.3549,3.4,2009,1238,all,,0.7021073,,,,,,,,,,,102.668,100.592,3.24311,212.311,-1.01742,-1.35799,0.34057,-0.524379,36.5484,0.0894268,-0.613806,1.129,4.9677,6.0968,2.129,1.5806,0.4839,15.2903,,7.40787
825,Michael Deloach,Norfolk St.,MEAC,31,90.4,102.1,31.2,48.8,52.77,5.0,10.3,19.3,18.4,143,200,0.715,209,430,0.486,35,106,0.33,0.8,3.2,37.3,Sr,Jun-00,,3.55276,112.58,3.2,2009,1532,all,,0.75439166,,,,,,,,,,,101.374,109.567,2.09547,209.926,-0.715704,1.66964,-2.38534,1.78091,36.1613,3.25505,-1.47415,1.6129,3.2581,4.871,2.7742,2.0323,0.2581,21.4839,,5.33034
848,Matt Spadafora,UMBC,AE,31,88.3,93.0,16.0,38.7,43.69,2.6,10.0,13.9,13.7,60,85,0.706,75,188,0.399,14,60,0.233,1.2,1.2,34.3,Jr,5-Jun,,0.302684,86.7379,2.9,2009,1572,all,,2.02559404,,,,,,,,,,,109.772,112.533,1.68233,163.275,-2.87818,-1.34515,-1.53303,-3.81576,35.871,-2.23605,-1.57971,0.8065,3.0,3.8065,2.5484,0.6774,0.3871,8.129,,3.37947
906,Shy Ely,Evansville,MVC,30,87.5,103.9,27.6,47.6,53.71,3.6,16.7,12.2,13.0,160,209,0.766,188,389,0.483,13,47,0.277,0.9,1.3,47.9,Sr,4-Jun,,3.84686,115.953,2.4,2009,1666,all,,0.79688745,,,,,,,,,,,98.3391,96.6372,3.59726,196.11,2.04163,1.587,0.45463,4.17364,35.1333,3.83104,0.342603,1.0333,4.9,5.9333,1.7,0.7667,0.2667,19.1667,,2.64077
919,R.L. Horton,Southern Miss,CUSA,29,87.8,95.4,22.3,42.9,46.68,0.7,9.8,13.7,12.8,75,109,0.688,119,277,0.43,21,74,0.284,0.5,1.3,31.1,So,Jun-00,,2.03633,100.971,2.8,2009,1686,all,,1.34040846,,,,,,,,,,,108.13,104.8,2.61701,154.426,-1.61083,-0.0660662,-1.54476,-1.12442,35.5862,-0.202262,-0.922162,0.2069,2.7586,2.9655,2.1724,0.7586,0.1379,12.9655,,4.47504
1022,Nick Weiermiller,UT Rio Grande Valley,ind,23,89.6,95.7,19.9,51.0,53.54,1.5,9.0,29.8,26.1,38,54,0.704,40,90,0.444,43,115,0.374,0.0,2.4,26.3,So,1-Jun,,0.967281,92.0477,2.7,2009,1868,all,,1.58334403,,,,,,,,,,,106.582,110.876,1.91048,129.659,-2.07083,0.244854,-2.31568,-1.72704,35.8261,-0.242958,-1.48408,0.4348,2.4348,2.8696,4.9565,1.4348,0.0,10.7391,,8.2078
1053,Jon Diebler,Ohio St.,B10,33,90.7,114.3,15.9,59.4,61.31,1.2,10.4,13.9,17.5,40,50,0.8,21,47,0.447,96,231,0.416,1.0,1.8,18.0,So,6-Jun,,3.65023,113.258,1.4,2009,1926,all,90.2,1.54710177,,,,,,,,,,51.0,101.11,95.9436,3.81795,190.128,6.21403,5.44616,0.767871,5.75998,36.697,4.52494,1.23504,0.303,3.2727,3.5758,2.4848,1.0303,0.303,11.2121,,12.1424
1055,Evan Turner,Ohio St.,B10,33,90.0,107.9,29.4,51.7,58.43,6.6,17.2,25.8,21.1,175,222,0.788,182,359,0.507,11,25,0.44,2.8,3.1,57.8,So,7-Jun,,5.37008,127.237,3.2,2009,1929,all,90.8,1.11964463,,,,,,,,,,2.0,93.5222,88.7433,4.6894,251.444,8.21888,4.40175,3.81713,7.71205,36.4242,4.79172,2.92033,1.697,5.3939,7.0909,3.9697,1.7576,0.8182,17.3333,,1.32433
1112,Harry Marshall,Indiana St.,MVC,21,59.3,96.0,26.2,45.6,51.55,2.8,9.2,31.6,23.8,76,100,0.76,70,143,0.49,22,83,0.265,0.0,1.5,44.2,Jr,Jun-00,,2.63399,106.114,2.8,2009,2026,all,,1.25676825,,,,,,,,,,,108.639,106.34,2.40248,107.273,-0.78973,1.32083,-2.11056,-1.66874,35.5714,0.357794,-2.02654,0.8095,2.6667,3.4762,4.4286,0.8571,0.0,13.4286,,6.98309
1118,Kelvin Lewis,Houston,CUSA,33,91.6,113.8,21.4,51.1,55.39,2.1,7.4,7.1,10.3,111,133,0.835,102,221,0.462,93,252,0.369,0.4,2.4,28.1,Jr,4-Jun,,4.14817,116.901,2.1,2009,2042,all,78.6,0.91489954,,,,,,,,,,,100.716,98.8512,3.48486,200.383,3.7952,4.04662,-0.251417,4.65965,36.9091,3.97773,0.681925,0.7273,2.5455,3.2727,1.303,1.5455,0.1515,18.0,,11.8349
1129,Robert Vaden,UAB,CUSA,34,90.2,101.0,25.7,50.4,52.68,2.3,13.5,11.9,15.6,74,100,0.74,95,198,0.48,112,324,0.346,1.8,1.7,19.2,Sr,5-Jun,,3.23944,110.147,2.0,2009,2073,all,,0.83331987,,,,,,,,,,54.0,97.4533,93.8186,4.06163,226.009,4.44251,2.7887,1.65381,5.03683,36.4706,4.14043,0.896408,0.7059,4.2353,4.9412,2.0588,1.0294,0.6176,17.6471,,15.4771
1151,Jonny Flynn,Syracuse,BE,37,90.7,111.9,24.9,50.6,56.57,1.9,5.9,32.6,20.5,175,223,0.785,168,325,0.517,45,140,0.321,0.4,2.0,48.0,So,Jun-00,,5.36686,126.92,1.5,2009,2115,all,96.6,1.95277362,,,,,,,,,,6.0,103.602,97.009,3.68145,214.199,4.75927,5.21382,-0.454556,5.64943,37.4865,5.10228,0.547152,0.5946,2.2162,2.8108,6.7027,1.3514,0.1622,17.4595,,5.61545
1174,Ryan Thompson,Rider,MAAC,32,94.9,116.7,22.6,56.8,61.2,6.1,12.7,17.4,17.6,136,176,0.773,151,278,0.543,46,109,0.422,1.0,2.6,45.5,Jr,6-Jun,,4.87473,121.281,2.2,2009,2153,all,,1.2118064,,,,,,,,,,,101.935,104.654,2.86063,224.707,4.54316,4.73969,-0.196534,5.2441,38.25,5.37542,-0.131321,2.0938,4.4375,6.5312,3.2188,1.75,0.375,18.0,,4.99393
1179,Kyle McAlarney,Notre Dame,BE,35,92.4,110.9,19.1,53.6,56.42,0.6,6.6,16.9,15.6,61,69,0.884,50,141,0.355,117,280,0.418,0.2,1.0,16.4,Sr,1-Jun,,4.05522,115.892,1.6,2009,2160,all,85.4,1.81821079,,,,,,,,,,,108.579,102.832,3.00508,177.609,3.54298,4.5082,-0.965227,3.11651,37.0857,3.62164,-0.50513,0.2,2.3714,2.5714,3.4286,0.6286,0.0857,14.6286,,12.6453
1184,Kyle Gibson,Louisiana Tech,WAC,29,82.9,109.5,24.8,55.5,59.51,3.1,9.3,18.9,21.3,116,161,0.72,73,158,0.462,66,152,0.434,0.6,1.8,51.9,Jr,4-Jun,,3.72744,114.583,2.6,2009,2172,all,3.8,0.91767311,,,,,,,,,,,100.807,101.06,3.09924,161.736,3.13683,3.49814,-0.361304,3.98563,35.5862,3.96364,0.0219906,0.8621,2.6207,3.4828,2.6897,1.0345,0.1724,15.8621,,9.13156
1200,Alex Ruoff,West Virginia,BE,33,83.7,118.5,20.7,54.4,58.37,2.7,9.0,19.4,17.1,99,124,0.798,77,148,0.52,88,236,0.373,1.0,2.8,32.3,Sr,6-Jun,,5.0985,125.654,2.7,2009,2198,all,67.4,1.62317663,,,,,,,,,,,94.4894,88.5627,4.64484,209.508,8.69143,6.55587,2.13555,8.85682,35.6364,5.63436,3.22246,0.8788,2.697,3.5758,3.3939,1.6667,0.3333,15.6667,,12.1496
1220,Dominique Jones,South Florida,BE,31,93.3,105.2,28.4,47.7,51.73,5.8,10.9,28.7,15.8,121,171,0.708,139,286,0.486,54,175,0.309,1.1,2.3,37.1,So,4-Jun,,5.0548,123.32,2.7,2009,2231,all,,1.48778916,,,,,,,,,,25.0,102.47,96.9632,3.79293,192.148,7.79211,6.0871,1.70501,8.48969,37.4516,6.73635,1.75333,1.9677,3.6129,5.5806,3.9355,1.3226,0.3871,18.0968,,9.58215
1264,Alan Voskuil,Texas Tech,B12,32,89.9,119.3,15.9,57.1,61.78,2.4,9.9,11.0,13.4,85,95,0.895,47,109,0.431,87,202,0.431,0.0,1.8,30.5,Sr,3-Jun,,4.12733,117.335,2.4,2009,2317,all,11.8,1.48897738,,,,,,,,,,,108.543,101.113,3.13955,195.706,6.24625,5.65976,0.586499,5.1146,35.9688,4.33535,0.77925,0.7812,3.2812,4.0625,2.0938,1.1562,0.0,13.75,,9.5598
1282,Tywain McKee,Coppin St.,MEAC,31,92.0,103.8,29.6,46.9,52.45,4.0,14.2,27.8,17.3,135,167,0.808,120,282,0.426,65,182,0.357,0.3,4.8,36.0,Sr,2-Jun,,4.03951,115.884,2.4,2009,2340,all,,1.32291389,,,,,,,,,,,96.4718,100.799,3.25381,253.496,5.8939,4.97015,0.923744,6.4801,36.9677,4.85803,1.62207,1.2903,4.4516,5.7419,4.0968,2.871,0.0968,18.3871,,9.73249
1300,Vaughn Duggins,Wright St.,Horz,4,10.6,89.5,22.3,40.0,43.88,2.6,11.9,10.8,12.3,11,18,0.611,12,27,0.444,4,18,0.222,0.0,3.7,40.0,Jr,3-Jun,,1.11322,93.6524,1.7,2009,2384,all,,1.0,,,,,,,,,,,90.0107,88.5299,4.47602,27.6835,1.0076,-0.749115,1.75672,2.14371,35.25,0.0339481,2.10977,0.75,3.5,4.25,1.5,2.0,0.0,11.75,,8.2362
1316,Jeremy Lin,Harvard,Ivy,27,86.8,105.3,29.8,56.0,60.05,3.3,16.1,30.8,22.9,118,161,0.733,123,226,0.544,39,98,0.398,2.0,4.2,49.7,Jr,2-Jun,,3.92025,116.822,3.3,2009,2422,all,15.0,1.08570544,,,,,,,,,,,97.863,102.618,2.84778,201.313,4.6202,3.66042,0.959776,4.71044,35.1852,3.9083,0.802139,0.8519,4.5556,5.4074,4.2222,2.3704,0.6667,17.8148,,6.37003
1324,Ben Smith,Jacksonville,ASun,32,89.5,116.2,22.8,50.4,56.0,2.2,8.6,22.5,16.3,138,175,0.789,102,220,0.464,66,179,0.369,0.0,3.5,43.9,Jr,10-May,,4.40652,119.739,1.9,2009,2433,all,35.8,1.72972973,,,,,,,,,,,100.038,102.151,2.99581,209.995,3.65883,4.75221,-1.09337,4.75292,36.2188,4.21719,0.53573,0.7188,2.5625,3.2812,4.0,2.1875,0.0,16.875,,8.98499
